Time,UTC_TIME,Open,High,Low,Close,Volume,CANDLE_TYPE
2025-12-04 13:40:00,2025-12-04 08:10:00,143.35,143.35,142.94,143.15,2152.039,Bearish
2025-12-04 13:45:00,2025-12-04 08:15:00,143.15,143.46,143.09,143.32,1131.138,Bullish
2025-12-04 13:50:00,2025-12-04 08:20:00,143.32,143.36,143.1,143.1,1545.993,Bearish
2025-12-04 13:55:00,2025-12-04 08:25:00,143.1,143.19,142.94,142.94,2846.393,Bearish
2025-12-04 14:00:00,2025-12-04 08:30:00,142.94,142.94,142.74,142.87,2385.602,Bearish
2025-12-04 14:05:00,2025-12-04 08:35:00,142.87,143.24,142.87,143.23,1146.497,Bullish
2025-12-04 14:10:00,2025-12-04 08:40:00,143.23,143.35,143.17,143.26,1809.961,Bullish
2025-12-04 14:15:00,2025-12-04 08:45:00,143.26,143.3,143.12,143.12,753.157,Bearish
2025-12-04 14:20:00,2025-12-04 08:50:00,143.12,143.13,142.81,142.85,2112.534,Bearish
2025-12-04 14:25:00,2025-12-04 08:55:00,142.85,142.95,142.77,142.89,3921.95,Bullish
2025-12-04 14:30:00,2025-12-04 09:00:00,142.89,143.17,142.89,143.02,2118.955,Bullish
2025-12-04 14:35:00,2025-12-04 09:05:00,143.02,143.63,142.98,143.57,3959.26,Bullish
2025-12-04 14:40:00,2025-12-04 09:10:00,143.57,143.74,143.53,143.55,2093.177,Bearish
2025-12-04 14:45:00,2025-12-04 09:15:00,143.55,143.71,143.38,143.42,1983.88,Bearish
2025-12-04 14:50:00,2025-12-04 09:20:00,143.42,143.67,143.42,143.6,1102.542,Bullish
2025-12-04 14:55:00,2025-12-04 09:25:00,143.6,143.65,143.44,143.57,1105.884,Bearish
2025-12-04 15:00:00,2025-12-04 09:30:00,143.57,143.93,143.53,143.91,2762.418,Bullish
2025-12-04 15:05:00,2025-12-04 09:35:00,143.91,144.01,143.79,143.85,2183.086,Bearish
2025-12-04 15:10:00,2025-12-04 09:40:00,143.85,144.07,143.85,143.98,1516.74,Bullish
2025-12-04 15:15:00,2025-12-04 09:45:00,143.98,143.99,143.74,143.81,1168.366,Bearish
2025-12-04 15:20:00,2025-12-04 09:50:00,143.81,144.19,143.75,144.17,3625.765,Bullish
2025-12-04 15:25:00,2025-12-04 09:55:00,144.17,144.18,143.89,143.9,1441.773,Bearish
2025-12-04 15:30:00,2025-12-04 10:00:00,143.9,144.17,143.85,143.98,1803.528,Bullish
2025-12-04 15:35:00,2025-12-04 10:05:00,143.98,143.99,143.64,143.9,1407.529,Bearish
2025-12-04 15:40:00,2025-12-04 10:10:00,143.9,143.97,143.75,143.84,2488.122,Bearish
2025-12-04 15:45:00,2025-12-04 10:15:00,143.84,143.84,143.53,143.53,901.348,Bearish
2025-12-04 15:50:00,2025-12-04 10:20:00,143.53,143.73,143.49,143.66,2943.683,Bullish
2025-12-04 15:55:00,2025-12-04 10:25:00,143.66,143.76,143.43,143.67,1960.117,Bullish
2025-12-04 16:00:00,2025-12-04 10:30:00,143.67,143.75,143.51,143.64,2148.63,Bearish
2025-12-04 16:05:00,2025-12-04 10:35:00,143.64,143.74,143.55,143.7,1213.683,Bullish
2025-12-04 16:10:00,2025-12-04 10:40:00,143.7,143.75,143.49,143.64,1219.994,Bearish
2025-12-04 16:15:00,2025-12-04 10:45:00,143.64,143.78,143.4,143.44,1700.808,Bearish
